Scheme Name,Net Asset Value
 
Open Ended Schemes(Debt Scheme - Banking and PSU Fund)
 
Aditya Birla Sun Life Mutual Fund
 
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,111.8017
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,114.664
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,112.7359
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,158.2118
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.3753
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,109.6132
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,111.2341
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,112.401
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,313.1568
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,470.0887
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,322.6687
 
Axis Mutual Fund
 
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2317.9016
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1036.4833
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1038.2027
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2261.4088
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1036.3104
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1038.2003
 
Bandhan Mutual Fund
 
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW,12.0689
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW,10.4768
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW,10.4638
BANDHAN Banking & PSU Debt Fund - Direct Growth,21.6301
BANDHAN Banking & PSU Debt Fund - Direct IDCW,11.3786
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.4560
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,10.8391
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.1254
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8788
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6193
BANDHAN Banking & PSU Debt Fund - Regular Growth,21.1526
BANDHAN Banking & PSU Debt Fund - Regular IDCW,11.4224
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.6992
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.7470
 
Baroda BNP Paribas Mutual Fund
 
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.2134
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,10.9620
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.3410
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,10.8535
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.1806
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.2395
 
Canara Robeco Mutual Fund
 
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,10.4472
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.4469
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,10.4257
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.4258
 
DSP Mutual Fund
 
DSP Banking & PSU Debt Fund - Direct Plan - Growth,21.1179
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.3415
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1600
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.2507
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.3408
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1713
DSP Banking & PSU Debt Fund - Regular Plan - Growth,20.5112
DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.3374
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1600
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.2436
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.3369
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1711
 
Edelweiss Mutual Fund
 
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,21.7874
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.3275
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.645
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.976
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5786
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,21.1651
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.7201
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,14.2635
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.2211
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1735
 
Franklin Templeton Mutual Fund
 
Franklin India Banking & PSU Debt Fund - Direct - Growth,19.9305
Franklin India Banking & PSU Debt Fund - Growth,19.2125
Franklin India Banking and PSU Debt Fund - Direct - IDCW ,10.9007
Franklin India Banking and PSU Debt Fund - IDCW ,10.3783
 
HDFC Mutual Fund
 
HDFC Banking and PSU Debt Fund - Growth Option,19.6514
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,20.2908
HDFC Banking and PSU Debt Fund - IDCW Option,10.1537
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0443
 
HSBC Mutual Fund
 
HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1907
HSBC Banking and PSU Debt Fund - Direct Growth,21.8223
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.3564
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3563
HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.1160
HSBC Banking and PSU Debt Fund - Regular Growth,20.8854
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.8160
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3287
 
ICICI Prudential Mutual Fund
 
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,28.8397
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.7199
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth,27.8668
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.7821
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305
 
Invesco Mutual Fund
 
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment),1010.69
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option,2058.8411
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment),1032.2094
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1013.7957
Invesco India Banking & PSU Debt Fund - Growth Option,1936.5136
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment),1033.4825
 
ITI Mutual Fund
 
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,11.3556
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,11.3556
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,11.1970
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,11.1970
 
Kotak Mahindra Mutual Fund
 
Kotak Banking and PSU Debt - Annual Dividend,16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604
Kotak Banking and PSU Debt - Growth,55.8207
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,10.4875
Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427
Kotak Banking and PSU Debt Direct - Growth,57.6698
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2558
 
LIC Mutual Fund
 
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW,12.8735
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth,31.8165
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW,11.9825
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW,10.0648
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW,10.8899
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth,29.8219
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW,11.1612
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW,10.0621
 
Mirae Asset Mutual Fund
 
Mirae Asset Banking and PSU Debt Fund Direct Growth,11.2784
Mirae Asset Banking and PSU Debt Fund Direct IDCW,11.2781
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan,11.1385
Mirae Asset Banking and PSU Debt Fund Regular IDCW,11.1394
 
Nippon India Mutual Fund
 
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,18.2724
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,18.2722
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option,12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,17.7544
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,18.2722
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.7131
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,10.8384
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.2928
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,17.7544
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.6477
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,10.7833
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.2931
 
PGIM India Mutual Fund
 
PGIM India Banking and PSU Debt fund - Bonus,13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend,10.216
PGIM India Banking and PSU Debt fund - Monthly Dividend,10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus,11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend,10.6338
PGIM India Banking and PSU Debt Fund - Regular Dividend,10.2044
PGIM India Banking and PSU Debt fund - Weekly Dividend,10.2735
PGIM India Banking and PSU Debt fund -Growth,20.8794
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus,13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus,15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend,11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend,10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend,10.6946
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend,10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth,21.8739
 
SBI Mutual Fund
 
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1239.0576
SBI BANKING & PSU FUND - Direct Plan - Growth,2813.0174
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1202.1974
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1236.3042
SBI BANKING & PSU FUND - Regular Paln - Growth,2672.7092
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1219.3654
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1144.0315
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1219.1097
 
Sundaram Mutual Fund
 
Sundaram Banking & PSU Debt Fund - Direct Growth,11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend,11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend,10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus,11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth,11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend,11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus,11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend,10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend,11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus,18.5766
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.2300
Sundaram Banking and PSU Debt Fund Direct Plan - Growth,37.1333
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5935
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus,18.5181
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.3550
Sundaram Banking and PSU Debt Fund Regular Plan - Growth,36.7226
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.6457
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1000
Sundaram Banking and PSU Debt Fund Retail Plan - Growth,33.0948
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5499
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment,11.6582
 
Tata Mutual Fund
 
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option ,12.5412
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.5412
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,12.3155
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.3155
